Wild Fall Chinook,Hatchery Fall Chinook,Wild Coho,Hatchery Coho
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
293,269,296,291
293,269,296,291
293,269,296,291
293,269,296,291
293,269,296,291
293,269,296,291
293,269,296,291
294,269,296,291
294,269,296,291
294,269,296,291
294,270,296,291
294,270,296,291
294,270,296,291
294,270,296,291
294,270,296,292
294,270,296,292
294,270,296,292
294,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,296,292
296,270,297,292
296,270,297,292
296,270,297,292
296,270,297,293
296,270,297,293
296,270,297,293
296,270,297,293
296,270,297,293
296,270,297,293
296,270,297,293
296,270,297,293
296,271,297,293
296,271,297,293
296,271,297,293
296,271,297,293
296,271,298,293
296,271,298,293
296,271,298,293
296,271,298,293
296,271,298,293
296,271,298,293
296,271,298,293
296,271,298,293
296,271,301,293
296,271,301,293
296,271,301,293
296,271,301,293
296,271,301,293
297,271,301,293
297,271,301,293
,271,301,293
,271,301,293
,271,302,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,293
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,271,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,294
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,295
,272,,296
,272,,296
,272,,296
,272,,296
,272,,296
,272,,296
,272,,296
,272,,296
,272,,296
,272,,296
,272,,296
,272,,296
,272,,296
,272,,296
,272,,297
,272,,297
,272,,297
,272,,297
,272,,297
,272,,297
,272,,297
,272,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,297
,273,,298
,273,,298
,273,,299
,273,,299
,273,,299
,273,,299
,273,,299
,273,,299
,273,,299
,273,,299
,273,,299
,273,,299
,273,,299
,273,,299
,273,,299
,273,,299
,273,,299
,273,,299
,273,,299
,273,,299
,273,,301
,273,,301
,273,,301
,273,,301
,273,,301
,273,,301
,273,,301
,273,,301
,273,,301
,273,,301
,273,,301
,273,,301
,273,,301
,273,,301
,273,,301
,273,,301
,273,,301
,273,,301
,273,,301
,273,,301
,273,,301
,273,,302
,273,,302
,273,,302
,273,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,302
,274,,304
,274,,304
,274,,304
,274,,304
,274,,304
,274,,304
,274,,304
,274,,304
,274,,305
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,274,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,275,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,276,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,277,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,278,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,279,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,280,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,281,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,282,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,283,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,284,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,285,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,286,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,287,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,288,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,289,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,290,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,291,,
,292,,
,292,,
,292,,
,292,,
,292,,
,292,,
,292,,
,292,,
,292,,
,292,,
,292,,
,292,,
,292,,
,292,,
,292,,
,292,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,293,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,294,,
,295,,
,295,,
,295,,
,295,,
,295,,
,295,,
,295,,
,295,,
,295,,
,295,,
,295,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,296,,
,297,,
,297,,
,297,,
,297,,
,297,,
,297,,
,297,,
,297,,
,297,,
,297,,
,297,,
,297,,
,297,,
,297,,
,298,,
,298,,
,298,,
,298,,
,298,,
,298,,
,298,,
,298,,
,298,,
,298,,
,298,,
,298,,
,298,,
,298,,
,298,,
,298,,
,299,,
,299,,
,299,,
,299,,
,299,,
,301,,
,302,,
,302,,
,302,,
,304,,
,304,,
,305,,
,305,,
,305,,
