Hatchery Summer Steelhead,Hatchery Winter Steelhead,Hatchery Type N Coho
347,016,341
347,016,341
347,017,341
347,017,341
347,017,341
347,017,341
347,018,341
347,018,341
347,018,341
347,018,341
347,018,341
347,018,341
347,019,341
349,019,342
349,019,342
349,019,342
349,019,342
349,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
352,019,342
353,019,342
353,019,342
353,019,342
353,019,342
353,019,342
353,019,342
353,019,342
353,019,342
353,019,342
353,019,342
353,019,342
353,019,342
353,019,342
353,019,342
353,019,342
353,019,342
353,019,342
353,019,342
353,019,342
353,019,342
362,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,019,342
,020,342
,020,342
,020,342
,020,342
,020,342
,020,342
,020,342
,020,343
,020,343
,020,343
,020,343
,020,343
,020,343
,020,343
,020,343
,020,343
,020,343
,020,343
,020,343
,020,343
,020,343
,020,343
,020,343
,020,343
,020,344
,020,344
,020,344
,020,345
,020,345
,020,345
,020,345
,020,345
,020,345
,020,345
,020,345
,020,347
,020,347
,020,347
,020,347
,022,347
,022,347
,022,347
,022,347
,022,347
,022,347
,022,347
,022,347
,022,347
,022,347
,022,347
,022,348
,022,348
,022,348
,022,348
,022,349
,022,349
,022,349
,022,350
,022,350
,022,351
,022,351
,022,351
,022,351
,022,351
,022,351
,022,351
,022,351
,022,351
,022,351
,023,351
,023,351
,023,351
,023,351
,023,351
,023,351
,023,351
,023,351
,023,351
,023,352
,023,352
,023,352
,023,352
,023,352
,023,352
,023,352
,023,352
,023,352
,023,352
,023,352
,023,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,352
,024,353
,024,353
,024,353
,024,353
,024,353
,024,353
,024,353
,024,353
,024,353
,024,353
,024,353
,024,353
,024,353
,024,353
,024,353
,024,353
,024,353
,024,353
,024,353
,024,353
,025,353
,025,353
,025,353
,025,353
,026,353
,026,353
,026,353
,026,353
,026,353
,026,353
,026,355
,026,355
,026,355
,026,355
,026,355
,026,355
,026,355
,026,355
,026,355
,026,355
,026,355
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,356
,026,357
,026,357
,026,357
,026,357
,026,357
,026,357
,026,357
,026,357
,027,357
,027,357
,027,357
,027,357
,027,357
,027,357
,027,357
,027,357
,027,357
,028,363
,029,364
,029,364
,029,364
,029,365
,029,365
,029,365
,029,365
,029,365
,029,365
,029,365
,029,365
,029,365
,029,365
,029,365
,029,365
,029,365
,029,365
,029,365
,029,365
,029,365
,029,365
,029,365
,029,365
,029,365
,029,365
,029,365
,029,365
,029,365
,029,
,029,
,029,
,029,
,029,
,029,
,029,
,029,
,029,
,029,
,030,
,030,
,030,
,030,
,030,
,030,
,030,
,030,
,030,
,030,
,030,
,030,
,030,
,030,
,030,
,030,
,030,
,030,
,030,
,030,
,030,
,031,
,031,
,032,
,032,
,032,
,032,
,032,
,033,
,033,
,033,
,033,
,033,
,033,
,033,
,033,
,033,
,033,
,033,
,033,
,033,
,033,
,033,
,033,
,033,
,033,
,033,
,033,
,033,
,033,
,033,
,038,
,038,
,038,
,039,
,039,
,039,
,039,
,039,
,039,
,039,
,039,
,039,
,039,
,039,
,039,
,039,
,042,
,042,
,042,
,042,
,042,
,042,
,042,
,042,
,042,
,042,
,043,
,043,
,043,
,043,
,043,
,043,
,043,
,043,
,044,
,044,
,044,
,044,
,044,
,044,
,044,
,044,
,044,
,050,
,050,
,050,
,054,
,054,
,054,
,054,
,055,
,055,
,057,
,057,
,057,
,059,
,059,
,059,
,059,
,059,
,059,
,059,
,059,
,059,
,059,
,059,
,059,
,059,
,059,
,059,
,059,
,059,
,059,
,059,
,326,
,326,
,328,
,328,
,329,
,329,
,329,
,329,
,329,
,329,
,329,
,330,
,330,
,331,
,331,
,331,
,331,
,331,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,334,
,335,
,340,
,340,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,342,
,344,
,344,
,344,
,347,
,347,
,347,
,347,
,347,
,347,
,347,
,347,
,347,
,347,
,347,
,347,
,349,
,349,
,349,
,349,
,349,
,349,
,349,
,349,
,349,
,349,
,349,
,349,
,349,
,349,
,349,
,349,
,349,
,349,
,349,
,349,
,349,
,349,
,349,
,349,
,350,
,350,
,350,
,350,
,350,
,350,
,351,
,352,
,352,
,352,
,352,
,352,
,352,
,352,
,352,
,352,
,352,
,353,
,353,
,353,
,353,
,353,
,353,
,354,
,354,
,354,
,354,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,355,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,356,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,357,
,358,
,358,
,358,
,358,
,358,
,358,
,358,
,358,
,361,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,362,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,363,
,364,
,364,
,364,
,364,
,364,
,364,
,364,
,364,
,364,
,364,
,364,
,364,
,364,
,364,
,364,
,364,
,365,
,365,
,365,
,365,
,365,
,365,
