Wild Fall Chinook,Hatchery Fall Chinook,Wild Summer Steelhead,Hatchery Summer Steelhead,Wild Type S Coho,Wild Type N Coho,Hatchery Type S Coho,Hatchery Type N Coho
283,260,,,,,,
283,260,,,,,,
283,260,,,,,,
283,260,,,,,,
283,260,,,,,,
283,261,,,,,,
283,261,,,,,,
283,261,,,,,,
284,261,,,,,,
284,261,,,,,,
284,261,,,,,,
284,261,,,,,,
284,261,,,,,,
284,261,,,,,,
284,261,,,,,,
285,261,,,,,,
285,261,,,,,,
285,261,,,,,,
285,261,,,,,,
285,261,,,,,,
285,261,,,,,,
285,261,,,,,,
286,261,,,,,,
286,261,,,,,,
286,261,,,,,,
286,261,,,,,,
286,261,,,,,,
287,261,,,,,,
287,261,,,,,,
287,261,,,,,,
287,261,,,,,,
287,261,,,,,,
288,261,,,,,,
288,261,,,,,,
289,261,,,,,,
289,261,,,,,,
290,261,,,,,,
291,262,,,,,,
292,262,,,,,,
294,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,262,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,263,,,,,,
,264,,,,,,
,264,,,,,,
,264,,,,,,
,264,,,,,,
,264,,,,,,
,264,,,,,,
,264,,,,,,
,264,,,,,,
,264,,,,,,
,264,,,,,,
,264,,,,,,
,264,,,,,,
,264,,,,,,
,264,,,,,,
,264,,,,,,
,264,,,,,,
,264,,,,,,
,264,,,,,,
,264,,,,,,
,264,,,,,,
,264,,,,,,
,265,,,,,,
,265,,,,,,
,265,,,,,,
,265,,,,,,
,265,,,,,,
,265,,,,,,
,265,,,,,,
,265,,,,,,
,265,,,,,,
,265,,,,,,
,265,,,,,,
,265,,,,,,
,265,,,,,,
,265,,,,,,
,265,,,,,,
,265,,,,,,
,265,,,,,,
,265,,,,,,
,265,,,,,,
,265,,,,,,
,266,,,,,,
,266,,,,,,
,266,,,,,,
,266,,,,,,
,266,,,,,,
,266,,,,,,
,266,,,,,,
,266,,,,,,
,266,,,,,,
,266,,,,,,
,266,,,,,,
,266,,,,,,
,266,,,,,,
,266,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,267,,,,,,
,268,,,,,,
,268,,,,,,
,268,,,,,,
,268,,,,,,
,268,,,,,,
,268,,,,,,
,268,,,,,,
,268,,,,,,
,268,,,,,,
,268,,,,,,
,268,,,,,,
,268,,,,,,
,268,,,,,,
,269,,,,,,
,269,,,,,,
,269,,,,,,
,269,,,,,,
,269,,,,,,
,269,,,,,,
,269,,,,,,
,269,,,,,,
,269,,,,,,
,269,,,,,,
,269,,,,,,
,269,,,,,,
,269,,,,,,
,269,,,,,,
,269,,,,,,
,269,,,,,,
,269,,,,,,
,269,,,,,,
,269,,,,,,
,269,,,,,,
,269,,,,,,
,270,,,,,,
,270,,,,,,
,270,,,,,,
,270,,,,,,
,270,,,,,,
,270,,,,,,
,270,,,,,,
,270,,,,,,
,270,,,,,,
,270,,,,,,
,271,,,,,,
,271,,,,,,
,271,,,,,,
,271,,,,,,
,271,,,,,,
,271,,,,,,
,271,,,,,,
,271,,,,,,
,272,,,,,,
,272,,,,,,
,272,,,,,,
,272,,,,,,
,272,,,,,,
,272,,,,,,
,272,,,,,,
,272,,,,,,
,272,,,,,,
,272,,,,,,
,272,,,,,,
,272,,,,,,
,272,,,,,,
,273,,,,,,
,273,,,,,,
,273,,,,,,
,273,,,,,,
,273,,,,,,
,273,,,,,,
,273,,,,,,
,273,,,,,,
,273,,,,,,
,273,,,,,,
,273,,,,,,
,273,,,,,,
,274,,,,,,
,274,,,,,,
,274,,,,,,
,274,,,,,,
,274,,,,,,
,274,,,,,,
,274,,,,,,
,274,,,,,,
,274,,,,,,
,274,,,,,,
,274,,,,,,
,274,,,,,,
,274,,,,,,
,274,,,,,,
,274,,,,,,
,274,,,,,,
,274,,,,,,
,275,,,,,,
,275,,,,,,
,275,,,,,,
,275,,,,,,
,276,,,,,,
,276,,,,,,
,276,,,,,,
,276,,,,,,
,276,,,,,,
,276,,,,,,
,276,,,,,,
,276,,,,,,
,277,,,,,,
,277,,,,,,
,277,,,,,,
,277,,,,,,
,277,,,,,,
,277,,,,,,
,278,,,,,,
,278,,,,,,
,278,,,,,,
,278,,,,,,
,278,,,,,,
,278,,,,,,
,279,,,,,,
,279,,,,,,
,279,,,,,,
,279,,,,,,
,280,,,,,,
,280,,,,,,
,280,,,,,,
,280,,,,,,
,280,,,,,,
,281,,,,,,
,281,,,,,,
,281,,,,,,
,281,,,,,,
,281,,,,,,
,281,,,,,,
,282,,,,,,
,282,,,,,,
,282,,,,,,
,283,,,,,,
,283,,,,,,
,283,,,,,,
,283,,,,,,
,283,,,,,,
,284,,,,,,
,284,,,,,,
,284,,,,,,
,284,,,,,,
,284,,,,,,
,285,,,,,,
,285,,,,,,
,285,,,,,,
,286,,,,,,
,286,,,,,,
,286,,,,,,
,286,,,,,,
,287,,,,,,
,287,,,,,,
,287,,,,,,
,288,,,,,,
,288,,,,,,
,289,,,,,,
