Wild Fall Chinook,Hatchery Fall Chinook,Unknown Fall Chinook,Unknown Summer Steelhead,Wild Type S Coho,Hatchery Type S Coho
,276,,314,,332
,276,,314,,332
,276,,314,,334
,276,,314,,334
,276,,314,,334
,276,,314,,334
,276,,314,,334
,276,,314,,334
,276,,314,,334
,276,,317,,335
,277,,317,,335
,277,,317,,335
,277,,317,,335
,277,,317,,
,277,,320,,
,277,,320,,
,277,,320,,
,277,,320,,
,277,,320,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,277,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,278,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,279,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,280,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,281,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,282,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,283,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,284,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,285,,,,
,286,,,,
,286,,,,
,286,,,,
,286,,,,
,286,,,,
,286,,,,
,286,,,,
,286,,,,
,286,,,,
,286,,,,
,286,,,,
,286,,,,
,286,,,,
,286,,,,
,286,,,,
,286,,,,
,286,,,,
,286,,,,
,286,,,,
,286,,,,
,286,,,,
,286,,,,
,287,,,,
,287,,,,
,287,,,,
,287,,,,
,287,,,,
,287,,,,
,287,,,,
,287,,,,
,287,,,,
,287,,,,
,287,,,,
,287,,,,
,287,,,,
,287,,,,
,287,,,,
,287,,,,
,287,,,,
,287,,,,
,287,,,,
,287,,,,
,287,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,288,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,289,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,290,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,291,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,292,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,293,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,294,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,295,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,296,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,297,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,298,,,,
,299,,,,
,299,,,,
,299,,,,
,299,,,,
,299,,,,
