Hatchery Chum,Unknown Chum
297,301
298,301
298,301
298,301
298,301
298,301
299,302
300,302
301,303
301,303
301,303
302,303
302,303
303,303
303,303
303,303
303,303
303,303
303,303
303,303
303,303
303,303
303,303
303,303
303,303
303,303
303,304
303,304
303,304
304,304
304,304
304,304
304,304
304,305
304,305
304,305
304,305
304,305
304,305
304,305
304,305
304,305
304,305
304,306
305,306
305,306
305,306
305,306
305,306
305,306
305,306
305,306
305,306
305,306
305,306
305,306
305,306
305,306
305,306
305,306
305,306
305,306
305,306
305,306
305,306
305,306
305,306
305,306
305,306
305,306
305,307
305,307
305,307
305,307
305,307
306,307
306,307
306,307
306,307
306,307
306,307
306,307
306,307
306,307
306,307
307,307
307,307
307,307
307,307
307,307
307,307
307,307
307,307
307,307
307,307
307,307
307,307
307,307
307,307
307,307
307,308
307,308
307,308
307,308
307,308
307,308
307,308
307,308
307,308
307,308
307,308
307,308
307,308
307,308
307,308
307,308
307,308
307,308
307,308
307,308
307,308
307,308
307,308
307,308
307,309
307,309
307,309
307,309
307,309
307,309
307,309
307,309
307,309
307,309
307,309
307,309
307,309
307,309
307,309
307,310
307,310
307,310
307,310
307,310
307,310
307,310
307,310
307,310
307,310
307,310
307,310
307,310
307,310
307,311
307,311
307,311
307,311
308,311
308,311
308,311
308,311
308,311
308,311
308,311
308,311
308,311
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
308,312
309,312
309,312
309,312
309,312
309,313
309,313
309,313
309,313
309,313
309,313
309,313
309,313
309,313
309,313
309,313
309,313
309,313
309,313
309,313
309,313
309,313
309,313
309,313
309,313
309,313
309,313
309,313
309,313
309,314
309,314
309,314
309,314
309,314
309,314
309,314
309,314
309,314
309,314
309,314
309,314
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,315
309,316
309,316
309,316
309,316
309,316
309,316
309,316
309,316
309,316
309,316
309,316
309,316
309,316
309,316
309,316
309,316
309,316
309,316
309,316
309,316
309,316
309,316
309,316
309,316
309,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,316
310,317
310,317
310,317
310,317
310,317
310,317
310,317
310,317
310,317
310,317
310,317
310,317
310,317
310,317
310,317
310,317
310,317
310,317
310,317
310,317
310,317
310,317
310,317
310,317
310,317
310,318
310,318
310,318
310,318
310,318
310,318
310,318
310,318
310,318
310,318
310,318
310,318
310,318
310,318
310,318
310,318
310,318
310,318
310,318
310,318
310,318
310,318
310,318
310,318
310,318
310,319
310,319
310,319
310,319
310,319
311,319
311,319
311,319
311,319
311,319
311,319
311,319
311,319
311,319
311,319
311,319
311,319
311,319
311,319
311,319
311,319
311,319
311,319
311,319
311,320
311,320
311,320
311,320
311,320
311,320
311,320
311,320
311,320
311,320
311,320
311,320
311,320
311,320
311,320
311,320
311,320
311,320
311,320
311,320
311,320
311,320
311,320
311,321
311,321
311,321
311,321
312,321
312,321
312,321
312,321
312,322
312,322
312,322
312,322
312,322
312,322
312,322
312,322
312,322
312,322
312,322
312,322
312,322
312,322
312,322
312,322
312,322
312,323
312,323
312,323
312,323
312,323
312,323
312,324
312,324
312,324
312,324
312,324
312,324
312,324
312,324
312,324
312,325
312,325
312,325
312,325
312,325
312,325
312,325
312,326
312,326
312,326
312,326
312,326
312,326
312,326
312,326
312,326
312,326
312,326
312,327
312,327
312,327
312,327
312,327
312,328
312,329
312,330
312,330
312,330
312,330
312,330
312,330
312,330
312,330
312,330
312,331
312,333
312,333
312,333
312,333
312,333
312,334
312,
312,
312,
312,
312,
312,
312,
312,
312,
312,
312,
312,
312,
312,
312,
312,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
313,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
314,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
315,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
316,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
317,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
318,
319,
319,
319,
